"","Label1","Label2","Label3","Label4"
"1",1,0,0,0
"2",1,0,0,0
"3",1,0,0,0
"4",1,0,0,0
"5",1,0,0,0
"6",1,0,0,0
"7",1,0,0,0
"8",1,0,0,0
"9",1,0,0,0
"10",1,0,0,0
"11",0,1,0,0
"12",0,0,1,0
"13",0,0,1,0
"14",0,0,1,0
"15",0,0,1,0
"16",0,0,1,0
"17",0,0,1,0
"18",0,0,1,0
"19",0,0,1,0
"20",0,0,1,0
"21",0,0,1,0
"22",0,0,1,0
"23",0,0,1,0
"24",0,0,0,1
"25",0,0,0,1
"26",0,0,0,1
"27",0,0,0,1
"28",0,0,0,1
"29",0,0,0,1
"30",0,0,0,1
"31",0,0,0,1
"32",1,0,0,0
"33",1,0,0,0
"34",1,0,0,0
"35",1,0,0,0
"36",1,0,0,0
"37",1,0,0,0
"38",1,0,0,0
"39",0,1,0,0
"40",0,0,1,0
"41",0,0,1,0
"42",0,0,1,0
"43",0,0,1,0
"44",0,0,1,0
"45",0,0,1,0
"46",0,0,1,0
"47",0,0,1,0
"48",0,0,1,0
"49",0,0,0,1
"50",0,0,0,1
"51",0,0,0,1
"52",0,0,0,1
"53",0,0,0,1
"54",1,0,0,0
"55",1,0,0,0
"56",1,0,0,0
"57",1,0,0,0
"58",1,0,0,0
"59",1,0,0,0
"60",1,0,0,0
"61",1,0,0,0
"62",1,0,0,0
"63",1,0,0,0
"64",0,1,0,0
"65",0,0,1,0
"66",0,0,1,0
"67",0,0,1,0
"68",0,0,1,0
"69",0,0,1,0
"70",0,0,1,0
"71",0,0,1,0
"72",0,0,1,0
"73",0,0,1,0
"74",0,0,1,0
"75",0,0,1,0
"76",0,0,1,0
"77",0,0,1,0
"78",0,0,0,1
"79",0,0,0,1
"80",0,0,0,1
"81",0,0,0,1
"82",0,0,0,1
"83",0,0,0,1
"84",0,0,0,1
"85",1,0,0,0
"86",1,0,0,0
"87",1,0,0,0
"88",1,0,0,0
"89",1,0,0,0
"90",1,0,0,1
"91",1,0,0,0
"92",0,1,0,0
"93",0,0,1,0
"94",0,0,1,0
"95",0,0,1,0
"96",0,0,1,0
"97",0,0,1,0
"98",0,0,1,0
"99",0,0,1,0
"100",0,0,1,0
"101",0,0,0,1
"102",0,0,0,1
"103",0,0,0,1
"104",0,0,0,1
"105",0,0,0,1
"106",1,0,0,0
"107",1,0,0,0
"108",1,0,0,0
"109",1,0,0,0
"110",1,0,0,0
"111",1,0,0,0
"112",1,0,0,0
"113",1,0,0,0
"114",1,0,0,0
"115",1,0,0,0
"116",1,0,0,0
"117",0,1,0,0
"118",0,0,1,0
"119",0,0,1,0
"120",0,0,1,0
"121",0,0,1,0
"122",0,0,1,0
"123",0,0,1,0
"124",0,0,1,0
"125",0,0,1,0
"126",0,0,1,0
"127",0,0,1,0
"128",0,0,1,0
"129",0,0,1,0
"130",0,0,1,0
"131",0,0,0,1
"132",0,0,0,1
